0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:51 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:51 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:51 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:52 +0530] "GET / HTTP/1.1" 200 185397
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:52 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:52 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:52 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:52 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:52 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:56 +0530] "GET /about HTTP/1.1" 200 20603
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:56 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:56 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:56 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:56 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:39:56 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:04 +0530] "GET /about HTTP/1.1" 200 20603
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:04 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:04 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:04 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:04 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:04 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:05 +0530] "GET /contact HTTP/1.1" 200 26228
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:05 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:05 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:05 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:05 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:40:05 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:41:19 +0530] "GET /contact? HTTP/1.1" 200 26228
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:41:19 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:41:19 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:41:19 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:41:19 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:41:19 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:09 +0530] "GET /about HTTP/1.1" 200 20603
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:09 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:09 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:09 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:09 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:09 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:58 +0530] "GET /contact HTTP/1.1" 200 26228
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:42:58 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
